mhjd     flux     flux_err     flag
====     ====     ========     ====
57004.522956 0.016038 0.010472 0.000000
57005.981739 -0.002187 0.008605 0.000000
57006.749054 -0.010127 0.010888 0.000000
57014.365758 -0.010257 0.017120 0.000000
57016.420857 0.020960 0.018707 0.000000
57017.483057 0.005791 0.018428 0.000000
57020.202799 0.015700 0.021026 0.000000
57023.289021 0.013883 0.013044 0.000000
57029.327210 -0.011295 0.010218 0.000000
57043.830484 -0.031914 0.022317 0.000000
57045.262228 -0.037925 0.030650 0.000000
57048.182907 0.018558 0.032931 0.000000
57049.299779 0.000712 0.027631 0.000000
57050.368889 -0.022526 0.036006 0.000000
57053.020739 -0.013742 0.010417 0.000000
57057.417789 0.000539 0.018354 0.000000
57060.071632 -0.004920 0.019327 0.000000
57068.158635 0.008318 0.016660 0.000000
57072.667589 -0.000320 0.018983 0.000000
57085.832250 -0.027658 0.020855 0.000000
57099.860799 0.019295 0.021882 0.000000
57113.856772 -0.006594 0.016501 0.000000
57127.729882 0.015302 0.017624 0.000000
57141.613810 -0.003040 0.014957 0.000000
57155.555473 -0.001417 0.022874 0.000000
57172.525127 0.048866 0.022950 0.000000
57211.640816 0.020847 0.019421 0.000000
57239.674513 0.028547 0.020491 0.000000
57247.429897 0.021444 0.022980 0.000000
57349.293552 0.043407 0.023235 0.000000
57364.407273 0.064206 0.022014 0.000000
57390.514217 0.117371 0.021502 0.000000
57425.581338 0.102986 0.020618 0.000000
57449.684480 0.159588 0.019319 0.000000
57454.047328 0.174795 0.015486 0.000000
57468.047476 0.164874 0.023281 0.000000
57482.498203 0.147192 0.023174 0.000000
57495.998208 0.193061 0.022123 0.000000
57516.731349 0.170832 0.022620 0.000000
57530.998012 0.147728 0.017995 0.000000
57544.741645 0.148713 0.024644 0.000000
57548.029136 0.173807 0.011812 0.000000
57550.653761 0.186828 0.023069 0.000000
57555.486770 0.202765 0.023076 0.000000
57557.739237 0.186604 0.020371 0.000000
57559.847137 0.125136 0.017763 0.000000
57560.526106 0.141026 0.048035 0.000000
57561.779732 0.179603 0.025374 0.000000
57564.563408 0.162254 0.016444 0.000000
57568.536324 0.183423 0.022492 0.000000
57570.524131 0.196842 0.025732 0.000000
57572.470823 0.194264 0.023877 0.000000
57573.509193 0.133088 0.022484 0.000000
57575.130797 0.202035 0.020003 0.000000
57577.189378 0.160452 0.020722 0.000000
57579.370461 0.213908 0.021466 0.000000
57580.964979 0.158479 0.023655 0.000000
57589.673037 0.178950 0.027448 0.000000
57592.719378 0.179764 0.022619 0.000000
57596.695004 0.152129 0.023729 0.000000
57601.186009 0.154025 0.023834 0.000000
57603.649113 0.140862 0.019211 0.000000
57606.563063 0.127615 0.023028 0.000000
57609.483388 0.159020 0.019583 0.000000
57612.657741 0.155054 0.024870 0.000000
57615.504669 0.141295 0.020133 0.000000
57714.668568 -0.004893 0.022781 0.000000
57744.283009 0.028871 0.015021 0.000000
57750.506108 0.022376 0.018712 0.000000
57780.371799 -0.000004 0.018423 0.000000
